CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1815771968290487,44,1,1,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771969290487,44,2,1,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771970290487,44,3,1,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771971290487,44,4,1,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771972290487,44,1,2,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771973290487,44,2,2,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771974290487,44,3,2,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771975290487,44,4,2,374009841489998,1,221354540010661,1,1.0,2025-03-20 07:03:19,
1815771833290487,44,1,1,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771834290487,44,2,1,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771835290487,44,3,1,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771836290487,44,4,1,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771837290487,44,1,2,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771838290487,44,2,2,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771839290487,44,3,2,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771840290487,44,4,2,374009842489998,1,221354544010661,1,1.0,2025-03-20 07:03:16,
1815771809290487,44,1,1,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815771810290487,44,2,1,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815771811290487,44,3,1,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815771812290487,44,4,1,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815771813290487,44,1,2,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815771814290487,44,2,2,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815771815290487,44,3,2,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815771816290487,44,4,2,374009844489998,1,221354556010661,1,1.0,2025-03-20 07:03:16,
1815746652290487,44,1,2,145006153010661,1,55946358010538,1,1.0,2025-03-20 06:51:58,
